,0,1,2,3,4,5
161,57.0,13.0,19.0,56.0,5.0,57.0
162,52.0,13.0,17.0,48.0,4.0,52.0
163,54.0,14.0,23.0,70.0,6.0,70.0
164,54.0,12.0,20.0,49.0,7.0,54.0
165,51.0,13.0,20.0,44.0,5.0,51.0
166,50.0,16.0,18.0,32.0,2.0,50.0
167,42.0,15.0,18.0,55.0,3.0,55.0
168,51.0,12.0,24.0,67.0,3.0,67.0
169,34.0,14.0,21.0,84.0,4.0,84.0
170,52.0,17.0,18.0,63.0,7.0,63.0
171,63.0,19.0,21.0,65.0,4.0,65.0
172,58.0,17.0,29.0,36.0,4.0,58.0
173,60.0,18.0,27.0,40.0,4.0,60.0
174,40.0,14.0,19.0,30.0,2.0,40.0
175,55.0,15.0,27.0,31.0,2.0,55.0
176,12.0,12.0,14.0,29.0,1.0,29.0
177,20.0,11.0,15.0,33.0,2.0,33.0
178,28.0,13.0,25.0,33.0,3.0,33.0
179,33.0,12.0,19.0,46.0,3.0,46.0
180,29.0,11.0,16.0,57.0,3.0,57.0
181,27.0,13.0,22.0,42.0,3.0,42.0
182,49.0,14.0,18.0,39.0,3.0,49.0
183,45.0,13.0,14.0,48.0,2.0,48.0
184,35.0,14.0,16.0,53.0,2.0,53.0
185,60.0,13.0,18.0,80.0,6.0,80.0
186,49.0,14.0,19.0,90.0,7.0,90.0
187,66.0,16.0,21.0,141.0,7.0,141.0
188,79.0,17.0,28.0,94.0,6.0,94.0
189,38.0,15.0,16.0,58.0,3.0,58.0
190,24.0,13.0,19.0,54.0,5.0,54.0
191,30.0,15.0,19.0,73.0,5.0,73.0
192,27.0,14.0,19.0,74.0,5.0,74.0
193,37.0,16.0,23.0,103.0,5.0,103.0
194,45.0,18.0,22.0,71.0,5.0,71.0
195,40.0,17.0,22.0,45.0,5.0,45.0
196,51.0,16.0,21.0,69.0,4.0,69.0
197,38.0,16.0,19.0,96.0,6.0,96.0
198,59.0,18.0,26.0,97.0,7.0,97.0
199,86.0,20.0,22.0,122.0,9.0,122.0
200,53.0,15.0,24.0,50.0,7.0,53.0
201,43.0,13.0,23.0,95.0,5.0,95.0
202,49.0,17.0,23.0,77.0,9.0,77.0
203,45.0,14.0,20.0,64.0,4.0,64.0
204,46.0,13.0,25.0,82.0,5.0,82.0
205,48.0,16.0,20.0,56.0,6.0,56.0
206,50.0,19.0,19.0,76.0,5.0,76.0
207,50.0,17.0,20.0,85.0,10.0,85.0
208,57.0,16.0,20.0,70.0,9.0,70.0
209,38.0,16.0,18.0,55.0,5.0,55.0
210,55.0,15.0,24.0,87.0,5.0,87.0
211,48.0,14.0,19.0,74.0,4.0,74.0
212,53.0,17.0,18.0,74.0,6.0,74.0
213,46.0,18.0,19.0,60.0,5.0,60.0
214,42.0,17.0,18.0,80.0,7.0,80.0
215,52.0,18.0,18.0,97.0,7.0,97.0
216,62.0,18.0,19.0,90.0,7.0,90.0
217,61.0,18.0,19.0,90.0,5.0,90.0
218,68.0,19.0,18.0,59.0,6.0,68.0
219,60.0,21.0,19.0,85.0,6.0,85.0
220,56.0,16.0,23.0,141.0,6.0,141.0
221,34.0,15.0,21.0,72.0,6.0,72.0
222,44.0,15.0,21.0,92.0,5.0,92.0
223,56.0,19.0,18.0,65.0,8.0,65.0
224,56.0,16.0,18.0,56.0,3.0,56.0
225,58.0,15.0,25.0,118.0,5.0,118.0
226,70.0,16.0,23.0,102.0,6.0,102.0
227,55.0,18.0,19.0,92.0,5.0,92.0
228,39.0,18.0,18.0,105.0,5.0,105.0
229,5.0,21.0,17.0,63.0,4.0,63.0
230,18.0,17.0,16.0,49.0,3.0,49.0
231,51.0,16.0,15.0,83.0,4.0,83.0
232,52.0,19.0,18.0,77.0,5.0,77.0
233,57.0,19.0,19.0,112.0,6.0,112.0
234,71.0,19.0,21.0,59.0,5.0,71.0
235,52.0,19.0,18.0,63.0,4.0,63.0
236,53.0,19.0,16.0,66.0,4.0,66.0
237,53.0,25.0,19.0,58.0,4.0,58.0
238,62.0,20.0,18.0,51.0,6.0,62.0
239,56.0,18.0,16.0,49.0,5.0,56.0
240,61.0,24.0,21.0,138.0,6.0,138.0
241,56.0,18.0,20.0,48.0,5.0,56.0
242,51.0,18.0,16.0,64.0,5.0,64.0
243,54.0,17.0,16.0,75.0,6.0,75.0
244,56.0,18.0,15.0,77.0,3.0,77.0
245,64.0,18.0,19.0,70.0,5.0,70.0
246,63.0,19.0,20.0,110.0,9.0,110.0
247,52.0,17.0,19.0,79.0,6.0,79.0
248,57.0,17.0,19.0,57.0,4.0,57.0
249,59.0,20.0,16.0,50.0,3.0,59.0
250,54.0,20.0,16.0,72.0,3.0,72.0
251,55.0,21.0,16.0,64.0,4.0,64.0
252,52.0,18.0,17.0,86.0,4.0,86.0
253,56.0,17.0,20.0,95.0,4.0,95.0
254,59.0,16.0,20.0,61.0,5.0,61.0
255,59.0,19.0,21.0,113.0,6.0,113.0
256,68.0,23.0,21.0,86.0,6.0,86.0
257,65.0,20.0,21.0,88.0,6.0,88.0
258,59.0,18.0,18.0,66.0,5.0,66.0
259,53.0,19.0,15.0,78.0,3.0,78.0
260,48.59540889526542,21.978313253012047,16.60498561840844,40.00485201358564,12.565386485172581,58.41769743101808
261,57.0,20.0,16.0,77.0,6.0,77.0
262,57.0,18.0,17.0,63.0,5.0,63.0
263,55.0,16.0,18.0,58.0,6.0,58.0
264,68.0,19.0,18.0,127.0,9.0,127.0
265,63.0,20.0,21.0,137.0,7.0,137.0
266,62.0,19.0,20.0,88.0,5.0,88.0
267,60.0,19.0,21.0,63.0,8.0,63.0
268,62.0,19.0,24.0,53.0,5.0,62.0
269,44.0,17.0,20.0,22.0,3.0,44.0
270,60.0,16.0,31.0,81.0,7.0,81.0
271,59.0,17.0,22.0,55.0,9.0,59.0
272,42.0,17.0,20.0,56.0,4.0,56.0
273,52.0,17.0,20.0,53.0,4.0,53.0
274,48.0,17.0,26.0,47.0,4.0,48.0
275,50.0,17.0,22.0,65.0,7.0,65.0
276,53.0,17.0,20.0,62.0,6.0,62.0
277,60.0,18.0,21.0,49.0,5.0,60.0
278,48.0,20.0,16.0,36.0,4.0,48.0
279,52.0,17.0,20.0,82.0,4.0,82.0
280,39.0,18.0,19.0,41.0,4.0,41.0
281,53.0,17.0,19.0,68.0,5.0,68.0
282,71.0,17.0,30.0,55.0,6.0,71.0
283,54.0,19.0,20.0,77.0,5.0,77.0
284,46.0,17.0,23.0,89.0,6.0,89.0
285,58.0,18.0,29.0,125.0,7.0,125.0
286,36.0,18.0,19.0,107.0,5.0,107.0
287,29.0,19.0,15.0,95.0,4.0,95.0
288,36.0,20.0,18.0,55.0,4.0,55.0
289,50.0,18.0,22.0,120.0,6.0,120.0
290,36.0,20.0,21.0,115.0,6.0,115.0
291,51.0,17.0,23.0,44.0,5.0,51.0
292,51.0,17.0,24.0,96.0,6.0,96.0
293,73.0,18.0,37.0,76.0,7.0,76.0
294,49.0,18.0,21.0,64.0,3.0,64.0
295,52.0,19.0,17.0,74.0,6.0,74.0
296,53.0,19.0,25.0,95.0,5.0,95.0
297,55.0,20.0,20.0,79.0,5.0,79.0
298,53.0,20.0,19.0,46.0,4.0,53.0
299,42.0,22.0,18.0,91.0,8.0,91.0
300,42.0,20.0,23.0,73.0,6.0,73.0
301,64.0,19.0,33.0,66.0,6.0,66.0
302,58.0,20.0,24.0,71.0,5.0,71.0
303,40.0,19.0,21.0,67.0,5.0,67.0
304,40.0,21.0,19.0,88.0,11.0,88.0
305,51.0,23.0,19.0,136.0,6.0,136.0
306,51.0,21.0,19.0,105.0,8.0,105.0
307,55.0,21.0,20.0,87.0,5.0,87.0
308,64.0,20.0,27.0,57.0,9.0,64.0
309,32.0,17.0,16.0,49.0,3.0,49.0
310,37.0,17.0,19.0,12.0,3.0,37.0
311,53.0,19.0,27.0,43.0,5.0,53.0
312,52.0,19.0,21.0,56.0,4.0,56.0
313,50.0,19.0,28.0,101.0,5.0,101.0
314,56.0,20.0,24.0,150.0,5.0,150.0
315,44.0,18.0,18.0,81.0,3.0,81.0
316,28.0,18.0,21.0,60.0,4.0,60.0
317,52.0,19.0,27.0,71.0,5.0,71.0
318,48.0,19.0,22.0,102.0,5.0,102.0
319,54.0,26.0,27.0,125.0,6.0,125.0
320,26.6,22.8,32.0,19.6,5.0,32.0
321,59.0,22.0,27.0,80.0,5.0,80.0
322,46.0,20.0,22.0,79.0,9.0,79.0
323,48.0,21.0,20.0,128.0,5.0,128.0
324,30.0,20.0,19.0,141.0,5.0,141.0
325,48.59540889526542,21.978313253012047,16.60498561840844,40.00485201358564,12.565386485172581,58.41769743101808
326,48.59540889526542,21.978313253012047,16.60498561840844,40.00485201358564,12.565386485172581,58.41769743101808
327,40.0,19.0,17.0,18.0,2.0,40.0
328,27.0,19.0,18.0,20.0,2.0,27.0
329,28.0,20.0,15.0,18.0,2.0,28.0
330,20.0,18.0,16.0,19.0,2.0,20.0
331,19.0,18.0,16.0,21.0,2.0,21.0
332,23.0,19.0,16.0,28.0,3.0,28.0
333,29.0,21.0,23.0,18.0,4.0,29.0
334,27.0,21.0,21.0,19.0,3.0,27.0
335,39.0,20.0,18.0,20.0,3.0,39.0
336,33.0,19.0,17.0,27.0,3.0,33.0
337,27.0,20.0,15.0,25.0,2.0,27.0
338,30.0,19.0,18.0,29.0,4.0,30.0
339,28.0,20.0,19.0,78.0,6.0,78.0
340,35.0,22.0,19.0,40.0,4.0,40.0
341,48.59540889526542,21.978313253012047,16.60498561840844,40.00485201358564,12.565386485172581,58.41769743101808
342,48.59540889526542,21.978313253012047,16.60498561840844,40.00485201358564,12.565386485172581,58.41769743101808
343,48.59540889526542,21.978313253012047,16.60498561840844,40.00485201358564,12.565386485172581,58.41769743101808
344,25.0,20.0,17.0,16.0,2.0,25.0
345,24.0,20.0,25.0,21.0,2.0,25.0
346,27.0,19.0,24.0,16.0,1.0,27.0
347,10.0,20.0,20.0,31.0,4.0,31.0
348,48.59540889526542,21.978313253012047,16.60498561840844,40.00485201358564,12.565386485172581,58.41769743101808
349,51.0,23.0,22.0,18.0,2.0,51.0
350,33.0,20.0,18.0,29.0,2.0,33.0
351,17.0,23.0,17.0,25.0,2.0,25.0
352,27.0,21.0,19.0,31.0,4.0,31.0
353,33.0,21.0,18.0,30.0,3.0,33.0
354,30.0,21.0,22.0,28.0,3.0,30.0
355,28.0,20.0,26.0,25.0,3.0,28.0
356,34.0,21.0,21.0,35.0,3.0,35.0
